End Year,Season,Player,FP Votes,Age,Team,Games,Minutes,PTS,RB,AST,STL,BLK,FG%,3P%,FT%,era_5,era_4,era_3,era_2,era_1,era
2023,2022-23,Joel Embiid,73,28,PHI,66,34.6,33.1,10.2,4.2,1,1.7,0.548,0.33,0.857,1,0,0,0,0,2020-Present
2022,2021-22,Nikola Jokić,65,26,DEN,74,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,1,0,0,0,0,2020-Present
2021,2020-21,Nikola Jokić,91,25,DEN,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,1,0,0,0,0,2020-Present
2020,2019-20,Giannis Antetokounmpo,85,25,MIL,63,30.4,29.5,13.6,5.6,1,1,0.553,0.304,0.633,0,1,0,0,0,2010-2020
2019,2018-19,Giannis Antetokounmpo,78,24,MIL,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,0,1,0,0,0,2010-2020
2018,2017-18,James Harden,86,28,HOU,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,0,1,0,0,0,2010-2020
2017,2016-17,Russell Westbrook,69,28,OKC,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,0,1,0,0,0,2010-2020
2016,2015-16,Stephen Curry,131,27,GSW,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,0,1,0,0,0,2010-2020
2015,2014-15,Stephen Curry,100,26,GSW,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,0,1,0,0,0,2010-2020
2014,2013-14,Kevin Durant,119,25,OKC,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,0,1,0,0,0,2010-2020
2013,2012-13,LeBron James,120,28,MIA,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,0,1,0,0,0,2010-2020
2012,2011-12,LeBron James,109,27,MIA,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,0,1,0,0,0,2010-2020
2011,2010-11,Derrick Rose,113,22,CHI,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,0,1,0,0,0,2010-2020
2010,2009-10,LeBron James,116,25,CLE,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,0,0,1,0,0,2000-2010
2009,2008-09,LeBron James,109,24,CLE,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,0,0,1,0,0,2000-2010
2008,2007-08,Kobe Bryant,82,29,LAL,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,0,0,1,0,0,2000-2010
2007,2006-07,Dirk Nowitzki,83,28,DAL,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,0,0,1,0,0,2000-2010
